Star;rin (mas);error rin (mas);d (pc);error d (pc);Log rin [au];error log rin [au];log L* [Lsun];error logL*[Lsun];T*(K);error T* (K);R* (Rsun);error R* (Rsun);M* (Msun);error M* (Msun)
V590 Mon;2.99;0.02;689;53;0.31;0.03;2.06;0.37;12500;1000;2.30;0.20;3.1;0.6
PDS 281;0.86;upper limit;868;9;-0.13;upper limit;3.72;0.055;16000;1500;9.48;0.82;9.0;0.5
HD 94509;0.86;upper limit;1609;44;0.14;upper limit;3.11;0.035;11500;1000;7.98;0.37;6.2;0.2
DG Cir;0.5;0.2;861;14;-0.37;0.17;2.13;0.1;11000;3000;5.04;0.60;3.4;0.3
HD 141926;3.49;upper limit;1324;32;0.66;upper limit;4.6;0.05;28000;1500;9.84;0.66;16.9;0.9
HD 37806;1.8;0.2;397;4;-0.15;0.05;2.3;0.02;10750;156;4.08;0.16;3.5;0.1
HD 38120;3.235;0.075;381;5;0.09;0.01;1.85;0.02;11500;125;2.11;0.06;2.80;0.04
HD 58647;1.7;0.4;302;2;-0.29;0.10;2.49;0.01;10750;125;5.06;0.14;4.05;0.09
HD 95881;1.445;0.1;1098;24;0.20;0.03;2.97;0.02;10000;250;10.66;0.36;6.4;0.1
HD 97048;2.19;0.05;184.1;0.8;-0.39;0.01;1.81;0.01;10500;500;2.22;0.06;2.80;0.03
HD 98922;2.345;0.055;644;9;0.18;0.01;3.16;0.02;10500;250;11.45;0.36;7.01;0.07
HD 100546;2.51;0.06;108;0.4;-0.57;0.01;1.34;0.01;9750;500;1.83;0.05;2.10;0.04
HD 135344B;1.48;0.035;134.4;0.4;-0.70;0.01;0.71;0.01;6375;125;1.92;0.08;1.46;0.06
HD 139614;4.785;0.215;133.1;0.5;-0.20;0.02;0.83;0.01;7750;250;1.54;0.05;1.60;0.01
HD 142527;1.26;0.03;158.5;0.7;-0.70;0.01;1.35;0.01;6500;250;3.46;0.13;2.20;0.05
HD 142666;1.26;0.5;145.5;0.5;-0.74;0.17;1.13;0.01;7500;250;2.33;0.08;1.75;0.02
HD 144432;1.38;0.035;154;0.6;-0.67;0.01;1.21;0.01;7500;250;2.23;0.08;1.82;0.02
HD 144668;2.04;0.05;157.8;0.8;-0.49;0.01;1.97;0.085;8500;250;4.74;0.52;3.2;0.3
